"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
2171,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271695455,"true",5,4,"false",500,0.168,0.5,"true"
2186,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271695587,"true",5,4,"false",500,0.183,0.5,"true"
2201,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271695828,"true",5,4,"false",500,0.198,0.5,"true"
2216,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271696188,"true",5,4,"false",500,0.213,0.5,"true"
2231,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271696531,"true",5,4,"false",500,0.228,0.5,"true"
2246,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271696755,"true",5,4,"false",500,0.243,0.5,"true"
2261,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271696919,"true",5,4,"false",500,0.258,0.5,"true"
2276,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271697134,"true",5,4,"false",500,0.273,0.5,"true"
2291,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271697288,"true",5,4,"false",500,0.288,0.5,"true"
2306,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271697536,"true",5,4,"false",500,0.303,0.5,"true"
2321,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271697770,"true",5,4,"false",500,0.318,0.5,"true"
2336,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698022,"true",5,4,"false",500,0.333,0.5,"true"
2351,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698237,"true",5,4,"false",500,0.348,0.5,"true"
2366,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698412,"true",5,4,"false",500,0.363,0.5,"true"
2381,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698623,"true",5,4,"false",500,0.378,0.5,"true"
2396,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698812,"true",5,4,"false",500,0.393,0.5,"true"
2411,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271698996,"true",5,4,"false",500,0.408,0.5,"true"
2426,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271699275,"true",5,4,"false",500,0.423,0.5,"true"
2441,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271699421,"true",5,4,"false",500,0.438,0.5,"true"
2456,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271699629,"true",5,4,"false",500,0.453,0.5,"true"
2471,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271699810,"true",5,4,"false",500,0.468,0.5,"true"
2486,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271700037,"true",5,4,"false",500,0.483,0.5,"true"
2501,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271700341,"true",5,4,"false",500,0.498,0.5,"true"
2516,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271700581,"true",5,4,"false",500,0.513,0.5,"true"
2531,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271700733,"true",5,4,"false",500,0.528,0.5,"true"
2546,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271700892,"true",5,4,"false",500,0.543,0.5,"true"
2561,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271701109,"true",5,4,"false",500,0.558,0.5,"true"
2576,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271701286,"true",5,4,"false",500,0.573,0.5,"true"
2591,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271701497,"true",5,4,"false",500,0.588,0.5,"true"
2606,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271701733,"true",5,4,"false",500,0.603,0.5,"true"
2621,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271701904,"true",5,4,"false",500,0.618,0.5,"true"
2636,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271702180,"true",5,4,"false",500,0.633,0.5,"true"
2651,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271702403,"true",5,4,"false",500,0.648,0.5,"true"
2666,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271702624,"true",5,4,"false",500,0.663,0.5,"true"
2681,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271702800,"true",5,4,"false",500,0.678,0.5,"true"
2696,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271702965,"true",5,4,"false",500,0.693,0.5,"true"
2711,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271703212,"true",5,4,"false",500,0.708,0.5,"true"
2726,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271703394,"true",5,4,"false",500,0.723,0.5,"true"
2741,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271703562,"true",5,4,"false",500,0.738,0.5,"true"
2756,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271703819,"true",5,4,"false",500,0.753,0.5,"true"
2771,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271704010,"true",5,4,"false",500,0.768,0.5,"true"
2786,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271704358,"true",5,4,"false",500,0.783,0.5,"true"
2801,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271704597,"true",5,4,"false",500,0.798,0.5,"true"
2816,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271704896,"true",5,4,"false",500,0.813,0.5,"true"
2831,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271705223,"true",5,4,"false",500,0.828,0.5,"true"
2846,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271705479,"true",5,4,"false",500,0.843,0.5,"true"
2861,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271705703,"true",5,4,"false",500,0.858,0.5,"true"
2876,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271705915,"true",5,4,"false",500,0.873,0.5,"true"
2891,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271706137,"true",5,4,"false",500,0.888,0.5,"true"
2906,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271706344,"true",5,4,"false",500,0.903,0.5,"true"
2921,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271706454,"true",5,4,"false",500,0.918,0.5,"true"
2936,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271706688,"true",5,4,"false",500,0.933,0.5,"true"
2951,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271706882,"true",5,4,"false",500,0.948,0.5,"true"
2966,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271707017,"true",5,4,"false",500,0.963,0.5,"true"
2981,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271707251,"true",5,4,"false",500,0.978,0.5,"true"
2996,"true","false","FREE_BOX","true",1,"WATTS","PRICE",1271707430,"true",5,4,"false",500,0.993,0.5,"true"
12,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271655923,"true",5,4,"false",500,0.011,0.5,"true"
27,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271656401,"true",5,4,"false",500,0.026,0.5,"true"
42,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271656677,"true",5,4,"false",500,0.041,0.5,"true"
57,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657010,"true",5,4,"false",500,0.056,0.5,"true"
72,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657295,"true",5,4,"false",500,0.071,0.5,"true"
87,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657606,"true",5,4,"false",500,0.086,0.5,"true"
102,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657813,"true",5,4,"false",500,0.101,0.5,"true"
117,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658051,"true",5,4,"false",500,0.116,0.5,"true"
132,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658361,"true",5,4,"false",500,0.131,0.5,"true"
147,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658610,"true",5,4,"false",500,0.146,0.5,"true"
