"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
631,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272369301,"true",5,4,"false",500,0.63,0.5,"true"
646,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272369837,"true",5,4,"false",500,0.645,0.5,"true"
661,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272370339,"true",5,4,"false",500,0.66,0.5,"true"
676,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272370851,"true",5,4,"false",500,0.675,0.5,"true"
691,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272371390,"true",5,4,"false",500,0.69,0.5,"true"
706,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272371907,"true",5,4,"false",500,0.705,0.5,"true"
721,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272372508,"true",5,4,"false",500,0.72,0.5,"true"
736,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272373068,"true",5,4,"false",500,0.735,0.5,"true"
751,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272373700,"true",5,4,"false",500,0.75,0.5,"true"
766,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272374179,"true",5,4,"false",500,0.765,0.5,"true"
781,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272374882,"true",5,4,"false",500,0.78,0.5,"true"
796,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272375464,"true",5,4,"false",500,0.795,0.5,"true"
811,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272376176,"true",5,4,"false",500,0.81,0.5,"true"
826,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272376774,"true",5,4,"false",500,0.825,0.5,"true"
841,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272377392,"true",5,4,"false",500,0.84,0.5,"true"
856,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272377909,"true",5,4,"false",500,0.855,0.5,"true"
871,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272378645,"true",5,4,"false",500,0.87,0.5,"true"
886,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272379324,"true",5,4,"false",500,0.885,0.5,"true"
901,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272379962,"true",5,4,"false",500,0.9,0.5,"true"
916,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272380517,"true",5,4,"false",500,0.915,0.5,"true"
931,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272381127,"true",5,4,"false",500,0.93,0.5,"true"
946,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272381727,"true",5,4,"false",500,0.945,0.5,"true"
961,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272382237,"true",5,4,"false",500,0.96,0.5,"true"
976,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272382686,"true",5,4,"false",500,0.975,0.5,"true"
991,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272383211,"true",5,4,"false",500,0.99,0.5,"true"
1006,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272383836,"true",5,4,"false",500,0.004,0.5,"true"
1021,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272384391,"true",5,4,"false",500,0.019,0.5,"true"
1036,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272384986,"true",5,4,"false",500,0.034,0.5,"true"
1051,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272385488,"true",5,4,"false",500,0.049,0.5,"true"
1066,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272386100,"true",5,4,"false",500,0.064,0.5,"true"
1081,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272386625,"true",5,4,"false",500,0.079,0.5,"true"
1096,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272387248,"true",5,4,"false",500,0.094,0.5,"true"
1111,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272387846,"true",5,4,"false",500,0.109,0.5,"true"
1126,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272388406,"true",5,4,"false",500,0.124,0.5,"true"
1141,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272388976,"true",5,4,"false",500,0.139,0.5,"true"
1156,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272389684,"true",5,4,"false",500,0.154,0.5,"true"
1171,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272390249,"true",5,4,"false",500,0.169,0.5,"true"
1186,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272391003,"true",5,4,"false",500,0.184,0.5,"true"
1201,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272391590,"true",5,4,"false",500,0.199,0.5,"true"
1216,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272392253,"true",5,4,"false",500,0.214,0.5,"true"
1231,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272392730,"true",5,4,"false",500,0.229,0.5,"true"
1246,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272393150,"true",5,4,"false",500,0.244,0.5,"true"
1261,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272393672,"true",5,4,"false",500,0.259,0.5,"true"
1276,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272394217,"true",5,4,"false",500,0.274,0.5,"true"
1291,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272394640,"true",5,4,"false",500,0.289,0.5,"true"
1306,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272394961,"true",5,4,"false",500,0.304,0.5,"true"
1321,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272395552,"true",5,4,"false",500,0.319,0.5,"true"
1336,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272396058,"true",5,4,"false",500,0.334,0.5,"true"
1351,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272396487,"true",5,4,"false",500,0.349,0.5,"true"
1366,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272396922,"true",5,4,"false",500,0.364,0.5,"true"
1381,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272397328,"true",5,4,"false",500,0.379,0.5,"true"
1396,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272397821,"true",5,4,"false",500,0.394,0.5,"true"
1411,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272398368,"true",5,4,"false",500,0.409,0.5,"true"
1426,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272398967,"true",5,4,"false",500,0.424,0.5,"true"
1441,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272399591,"true",5,4,"false",500,0.439,0.5,"true"
1456,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272400121,"true",5,4,"false",500,0.454,0.5,"true"
1471,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272400770,"true",5,4,"false",500,0.469,0.5,"true"
1486,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272401370,"true",5,4,"false",500,0.484,0.5,"true"
1501,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272401977,"true",5,4,"false",500,0.499,0.5,"true"
1516,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272402464,"true",5,4,"false",500,0.514,0.5,"true"
1531,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272403069,"true",5,4,"false",500,0.529,0.5,"true"
1546,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272403544,"true",5,4,"false",500,0.544,0.5,"true"
1561,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272404316,"true",5,4,"false",500,0.559,0.5,"true"
1576,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272404918,"true",5,4,"false",500,0.574,0.5,"true"
1591,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272405558,"true",5,4,"false",500,0.589,0.5,"true"
1606,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272406180,"true",5,4,"false",500,0.604,0.5,"true"
1621,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272406851,"true",5,4,"false",500,0.619,0.5,"true"
1636,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272407483,"true",5,4,"false",500,0.634,0.5,"true"
1651,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272407898,"true",5,4,"false",500,0.649,0.5,"true"
1666,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272408406,"true",5,4,"false",500,0.664,0.5,"true"
1681,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272408935,"true",5,4,"false",500,0.679,0.5,"true"
1696,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272409515,"true",5,4,"false",500,0.694,0.5,"true"
1711,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272410100,"true",5,4,"false",500,0.709,0.5,"true"
1726,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272410797,"true",5,4,"false",500,0.724,0.5,"true"
1741,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272411387,"true",5,4,"false",500,0.739,0.5,"true"
1756,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272411804,"true",5,4,"false",500,0.754,0.5,"true"
1771,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272412394,"true",5,4,"false",500,0.769,0.5,"true"
1786,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272412938,"true",5,4,"false",500,0.784,0.5,"true"
1801,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272413595,"true",5,4,"false",500,0.799,0.5,"true"
1816,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272414240,"true",5,4,"false",500,0.814,0.5,"true"
1831,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272414713,"true",5,4,"false",500,0.829,0.5,"true"
1846,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272415340,"true",5,4,"false",500,0.844,0.5,"true"
1861,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272415909,"true",5,4,"false",500,0.859,0.5,"true"
1876,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272416487,"true",5,4,"false",500,0.874,0.5,"true"
1891,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272417018,"true",5,4,"false",500,0.889,0.5,"true"
1906,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272417475,"true",5,4,"false",500,0.904,0.5,"true"
1921,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272418030,"true",5,4,"false",500,0.919,0.5,"true"
1936,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272418669,"true",5,4,"false",500,0.934,0.5,"true"
1951,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272419209,"true",5,4,"false",500,0.949,0.5,"true"
1966,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272419815,"true",5,4,"false",500,0.964,0.5,"true"
1981,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272420413,"true",5,4,"false",500,0.979,0.5,"true"
1996,"true","false","LIM_ED","true",2,"WATTS","COIN_FLIP",1272420919,"true",5,4,"false",500,0.994,0.5,"true"
2011,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272421409,"true",5,4,"false",500,0.008,0.5,"true"
2026,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272422043,"true",5,4,"false",500,0.023,0.5,"true"
2041,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272422548,"true",5,4,"false",500,0.038,0.5,"true"
2056,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272423114,"true",5,4,"false",500,0.053,0.5,"true"
2071,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272423737,"true",5,4,"false",500,0.068,0.5,"true"
2086,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272424218,"true",5,4,"false",500,0.083,0.5,"true"
2101,"true","false","LIM_ED","true",2,"WATTS","PRICE",1272424765,"true",5,4,"false",500,0.098,0.5,"true"
